"ERRS"	"PROB"	"ERRS"	"PROB"	"ERRS"	"PROB"	"ERRS"	"PROB"	"ERRS"	"PROB"	"ERRS"	"PROB"	"ERRS"	"PROB"
0	0.855920049876159	0	0.536472231101873	0	0.800598463253642	0	0.997825425468963	0	0.992231919459884	0	0.998763449778089	1	0.899572757898035
0	0.683420836293711	0	0.733233493211081	0	0.825667736785219	0	0.965069375364135	0	0.930690638457608	0	0.999925606622398	0	0.999016140634185
0	0.805592741071696	0	0.671915497083209	0	0.913063881867393	0	0.986580685715084	0	0.999998968012333	0	0.993318209755322	1	0.953993021459998
0	0.829655406040228	0	0.947058906091949	0	0.816471446927704	0	0.9733867651008	0	0.666352222653727	0	0.999913361249269	0	0.815364918348477
0	0.744392958029874	0	0.617757580704705	0	0.855328475578485	0	0.988602180520467	0	0.999999939013827	0	0.996188521343286	0	0.992565850085918
0	0.82594736828401	0	0.742499552924664	0	0.715021942562566	0	0.796436753414041	0	0.990306673708037	0	0.9999996210112	0	0.984354583434178
0	0.873164168779984	0	0.860239461680467	0	0.968476396330408	0	0.94706400654223	0	0.909456928621875	0	0.987594046283541	0	0.903432320142264
0	0.799672397629858	1	0.383136400162407	1	0.647526990790245	0	0.736860547078895	0	0.876210770784823	0	0.958560546941121	0	0.970291314635566
0	0.855414854803899	0	0.792080536826854	0	0.646011014458864	0	0.849278068260156	0	0.964348617272945	0	0.990124272559143	0	0.953261469249021
0	0.851292735271448	0	0.804147423305475	0	0.87406492366251	0	0.988352958165834	0	0.981961534007571	0	0.960191614294624	0	0.981914906593877
0	0.790901233404624	0	0.837541177619051	0	0.859372685173544	0	0.997656018339937	0	0.972848048224463	0	0.998104537802263	0	0.850945572694823
0	0.838360942355978	0	0.774463779886673	0	0.941808572639126	1	0.824512968444808	0	0.970011307324882	0	0.979799595975711	0	0.968885351150308
0	0.936037410081564	0	0.872912525612369	0	0.917195271690438	0	0.993004542496742	0	0.999999997344935	0	0.999987648193975	0	0.999965786923088
0	0.706905644075386	0	0.666330904411412	0	0.861662277744443	0	0.782137493738998	0	0.920892658742655	0	0.926875978776688	0	0.73025207147515
0	0.966099513070747	0	0.940787961185696	0	0.961844869989326	0	0.999649043593953	0	0.999999998370307	0	0.999999951305066	0	0.990526174973832
0	0.917469150038898	0	0.813166255211803	0	0.957417008714981	0	0.987686575149332	0	0.990792366548545	0	0.998994348257206	0	0.978911762124758
0	0.941512249038419	0	0.937631457988555	0	0.968652101198663	0	0.998605020213515	0	0.999999999994777	0	0.997502074464392	0	0.866178453375807
0	0.550573568511455	0	0.569619879169138	0	0.737265576517092	0	0.995417473644076	0	0.662997869694241	0	0.990690112375271	0	0.778935089004305
0	0.846409257866142	1	0.535791891422424	0	0.837650291541063	1	0.379045060002302	0	0.700734898218385	0	0.877773401011275	0	0.982184979136168
0	0.763203685908681	0	0.815802323971542	0	0.902279210902157	0	0.9939198980366	0	0.999827771736784	0	0.999999930339134	0	0.975665718273549
0	0.813040561371132	0	0.797405310891994	0	0.940189082766909	0	0.951266802245207	0	0.972192596716727	0	0.995407845306008	0	0.987678819166334
0	0.658602328725033	0	0.836437394231952	0	0.886870340844349	0	0.995713111300849	0	0.994298669021806	0	0.996662787892664	0	0.994667061088179
0	0.89393317157182	0	0.454043945171953	0	0.652132264311955	0	0.939847939485517	0	0.998254180057763	0	0.986145002601818	0	0.931110611450517
0	0.704279078674994	0	0.624418362972173	0	0.924145164773939	0	0.931752846736896	0	0.829320852069761	0	0.943497808321383	0	0.972280395852034
0	0.917500226969595	0	0.888530091987152	0	0.906492731094634	0	0.460727804221488	0	0.608481404625885	0	0.789759764343716	0	0.880128824603737
0	0.878608268116436	0	0.911212587050726	0	0.94295308076524	0	0.511101917294979	1	0.469111080605448	0	0.872637395271296	0	0.96285519459308
0	0.813586100155978	0	0.684469428541636	0	0.876107200863411	0	0.946156498601165	0	0.998371454070285	0	0.999999999969754	0	0.949751208793752
0	0.763664202092206	0	0.846273400243705	0	0.909618808764243	0	0.953987506670489	0	0.989510648415427	0	0.993556857743297	0	0.959256386036937
0	0.837856665900514	1	0.393041239924235	0	0.863291628335879	1	0.399847560081253	0	0.809002039309083	0	0.853007049455815	0	0.618416556808175
0	0.916086925334389	0	0.728015457420999	0	0.941989877148949	0	0.991617895792862	0	0.849668540433703	0	0.972954933792794	0	0.959708210877407
1	0.409173194291853	0	0.639279152213291	0	0.777618014171442	0	0.452202630611484	0	0.594861644813144	0	0.727901964468013	0	0.70941021274721
0	0.876942673678632	0	0.932947637528855	0	0.942402670635062	0	0.996931931202321	0	0.880207634592996	0	0.999999981308373	0	0.999381109226274
0	0.862735868854252	0	0.884809247876986	0	0.92923030398535	0	0.986864208582904	0	0.999838623585318	0	0.998373804919345	0	0.992564234240897
0	0.690783317779674	1	0.387321928027136	0	0.842493618832546	0	0.746379613126411	1	0.687450447572232	1	0.488527720633048	0	0.714781303752419
0	0.888264225935388	0	0.785517353550569	0	0.650229794039578	0	0.990014114082408	0	0.999999928381709	0	0.995576680403496	0	0.68969409988283
0	0.854527190526096	0	0.833089543985938	0	0.963020631413778	0	0.996060613889688	0	0.954974979581185	0	0.999999141903526	0	0.994086292673354
0	0.850319157586026	0	0.844468051268903	0	0.956050811748233	0	0.699788518378693	0	0.413759613875097	0	0.918928241016067	0	0.669056231037735
0	0.815628385954282	0	0.759074729020031	0	0.846179193786942	0	0.971618060620752	0	0.996357556818199	0	0.966421562967791	0	0.974628810657288
0	0.770911530007226	0	0.722802835401217	0	0.821214713464457	0	0.962848390603519	0	0.970408676778905	0	0.962603434555171	0	0.76465724854992
0	0.758387586562715	0	0.774054964568041	0	0.934632978012753	0	0.968271579219906	0	0.985951583680713	0	0.995124976552198	0	0.954797672807818
0	0.820757933486532	0	0.840888718436781	0	0.914054416135964	0	0.648707045397725	0	0.929682701017241	0	0.973979376506539	0	0.985142175282732
0	0.790560133805738	0	0.717354266549684	0	0.71051107013041	0	0.427725641079975	0	0.534312618249069	1	0.20768471014992	0	0.796100044238332
0	0.828022196737667	0	0.690204329307744	0	0.765042555947835	0	0.998379618834189	0	0.998534038171061	0	0.999999996839875	0	0.852427831657017
