"batch"	"allele2"	"n"	"batch.freq"
"AxiomGT1_b03.calls"	"15:01"	1221	0.138482477033004
"AxiomGT1_b03.calls"	"15:02"	6	0.000680503572643756
"AxiomGT1_b03.calls"	"16:01"	78	0.00884654644436883
"AxiomGT1_b04.calls"	"01:01"	1482	0.188789808917197
"AxiomGT1_b04.calls"	"01:02"	14	0.00178343949044586
"AxiomGT1_b04.calls"	"01:03"	3	0.000382165605095541
"AxiomGT1_b04.calls"	"03:01"	840	0.107006369426752
"AxiomGT1_b04.calls"	"04:01"	670	0.0853503184713376
"AxiomGT1_b04.calls"	"04:03"	3	0.000382165605095541
"AxiomGT1_b04.calls"	"04:04"	357	0.0454777070063694
"AxiomGT1_b04.calls"	"04:05"	4	0.000509554140127388
"AxiomGT1_b04.calls"	"04:07"	7	0.00089171974522293
"AxiomGT1_b04.calls"	"04:08"	94	0.0119745222929936
"AxiomGT1_b04.calls"	"07:01"	438	0.055796178343949
"AxiomGT1_b04.calls"	"08:01"	768	0.0978343949044586
"AxiomGT1_b04.calls"	"08:02"	7	0.00089171974522293
"AxiomGT1_b04.calls"	"08:03"	10	0.00127388535031847
"AxiomGT1_b04.calls"	"09:01"	285	0.0363057324840764
"AxiomGT1_b04.calls"	"10:01"	60	0.00764331210191083
"AxiomGT1_b04.calls"	"11:01"	292	0.0371974522292994
"AxiomGT1_b04.calls"	"11:03"	4	0.000509554140127388
"AxiomGT1_b04.calls"	"11:04"	30	0.00382165605095541
"AxiomGT1_b04.calls"	"12:01"	198	0.0252229299363057
"AxiomGT1_b04.calls"	"13:01"	685	0.0872611464968153
"AxiomGT1_b04.calls"	"13:02"	270	0.0343949044585987
"AxiomGT1_b04.calls"	"13:03"	40	0.00509554140127389
"AxiomGT1_b04.calls"	"14:01"	21	0.00267515923566879
"AxiomGT1_b04.calls"	"14:02"	25	0.00318471337579618
"AxiomGT1_b04.calls"	"14:54"	64	0.00815286624203822
"AxiomGT1_b04.calls"	"15:01"	1112	0.141656050955414
"AxiomGT1_b04.calls"	"15:02"	3	0.000382165605095541
"AxiomGT1_b04.calls"	"16:01"	64	0.00815286624203822
"AxiomGT1_b05.calls"	"01:01"	843	0.183300717547293
"AxiomGT1_b05.calls"	"01:02"	7	0.0015220700152207
"AxiomGT1_b05.calls"	"01:03"	3	0.000652315720808871
"AxiomGT1_b05.calls"	"03:01"	462	0.100456621004566
"AxiomGT1_b05.calls"	"04:01"	404	0.0878451837355947
"AxiomGT1_b05.calls"	"04:03"	5	0.00108719286801479
"AxiomGT1_b05.calls"	"04:04"	192	0.0417482061317678
"AxiomGT1_b05.calls"	"04:07"	4	0.000869754294411829
"AxiomGT1_b05.calls"	"04:08"	50	0.0108719286801479
"AxiomGT1_b05.calls"	"07:01"	261	0.0567514677103718
"AxiomGT1_b05.calls"	"08:01"	431	0.0937160252228745
"AxiomGT1_b05.calls"	"08:02"	6	0.00130463144161774
"AxiomGT1_b05.calls"	"08:03"	10	0.00217438573602957
"AxiomGT1_b05.calls"	"09:01"	154	0.0334855403348554
"AxiomGT1_b05.calls"	"10:01"	46	0.010002174385736
"AxiomGT1_b05.calls"	"11:01"	146	0.0317460317460317
"AxiomGT1_b05.calls"	"11:03"	3	0.000652315720808871
"AxiomGT1_b05.calls"	"11:04"	22	0.00478364861926506
"AxiomGT1_b05.calls"	"12:01"	132	0.0287018917155903
"AxiomGT1_b05.calls"	"13:01"	445	0.0967601652533159
"AxiomGT1_b05.calls"	"13:02"	157	0.0341378560556643
"AxiomGT1_b05.calls"	"13:03"	25	0.00543596434007393
"AxiomGT1_b05.calls"	"14:01"	11	0.00239182430963253
"AxiomGT1_b05.calls"	"14:02"	11	0.00239182430963253
"AxiomGT1_b05.calls"	"14:54"	46	0.010002174385736
"AxiomGT1_b05.calls"	"15:01"	687	0.149380300065232
"AxiomGT1_b05.calls"	"15:02"	2	0.000434877147205914
"AxiomGT1_b05.calls"	"16:01"	34	0.00739291150250054
"AxiomGT1_b06.calls"	"01:01"	1195	0.177299703264095
"AxiomGT1_b06.calls"	"01:02"	14	0.00207715133531157
"AxiomGT1_b06.calls"	"01:03"	4	0.000593471810089021
"AxiomGT1_b06.calls"	"03:01"	665	0.0986646884272997
"AxiomGT1_b06.calls"	"04:01"	595	0.0882789317507418
"AxiomGT1_b06.calls"	"04:03"	5	0.000741839762611276
"AxiomGT1_b06.calls"	"04:04"	299	0.0443620178041543
"AxiomGT1_b06.calls"	"04:05"	4	0.000593471810089021
"AxiomGT1_b06.calls"	"04:07"	8	0.00118694362017804
"AxiomGT1_b06.calls"	"04:08"	70	0.0103857566765579
"AxiomGT1_b06.calls"	"07:01"	391	0.0580118694362018
"AxiomGT1_b06.calls"	"08:01"	608	0.0902077151335312
"AxiomGT1_b06.calls"	"08:02"	7	0.00103857566765579
"AxiomGT1_b06.calls"	"08:03"	9	0.0013353115727003
"AxiomGT1_b06.calls"	"09:01"	229	0.0339762611275964
"AxiomGT1_b06.calls"	"10:01"	69	0.0102373887240356
"AxiomGT1_b06.calls"	"11:01"	283	0.0419881305637982
"AxiomGT1_b06.calls"	"11:03"	7	0.00103857566765579
"AxiomGT1_b06.calls"	"11:04"	28	0.00415430267062315
"AxiomGT1_b06.calls"	"12:01"	195	0.0289317507418398
"AxiomGT1_b06.calls"	"13:01"	610	0.0905044510385757
"AxiomGT1_b06.calls"	"13:02"	247	0.036646884272997
"AxiomGT1_b06.calls"	"13:03"	30	0.00445103857566766
"AxiomGT1_b06.calls"	"14:01"	18	0.00267062314540059
"AxiomGT1_b06.calls"	"14:02"	15	0.00222551928783383
"AxiomGT1_b06.calls"	"14:54"	73	0.0108308605341246
"AxiomGT1_b06.calls"	"15:01"	1007	0.149406528189911
"AxiomGT1_b06.calls"	"15:02"	2	0.00029673590504451
"AxiomGT1_b06.calls"	"16:01"	53	0.00786350148367953
"AxiomGT1_b07.calls"	"01:01"	638	0.184606481481481
"AxiomGT1_b07.calls"	"01:02"	7	0.00202546296296296
"AxiomGT1_b07.calls"	"01:03"	4	0.00115740740740741
"AxiomGT1_b07.calls"	"03:01"	331	0.095775462962963
"AxiomGT1_b07.calls"	"04:01"	290	0.083912037037037
"AxiomGT1_b07.calls"	"04:03"	1	0.000289351851851852
"AxiomGT1_b07.calls"	"04:04"	150	0.0434027777777778
"AxiomGT1_b07.calls"	"04:05"	1	0.000289351851851852
"AxiomGT1_b07.calls"	"04:07"	3	0.000868055555555556
"AxiomGT1_b07.calls"	"04:08"	38	0.0109953703703704
"AxiomGT1_b07.calls"	"07:01"	184	0.0532407407407407
"AxiomGT1_b07.calls"	"08:01"	334	0.0966435185185185
"AxiomGT1_b07.calls"	"08:02"	10	0.00289351851851852
"AxiomGT1_b07.calls"	"08:03"	3	0.000868055555555556
"AxiomGT1_b07.calls"	"09:01"	121	0.0350115740740741
"AxiomGT1_b07.calls"	"10:01"	24	0.00694444444444444
"AxiomGT1_b07.calls"	"11:01"	122	0.0353009259259259
"AxiomGT1_b07.calls"	"11:03"	3	0.000868055555555556
"AxiomGT1_b07.calls"	"11:04"	12	0.00347222222222222
"AxiomGT1_b07.calls"	"12:01"	86	0.0248842592592593
"AxiomGT1_b07.calls"	"13:01"	345	0.0998263888888889
"AxiomGT1_b07.calls"	"13:02"	142	0.041087962962963
"AxiomGT1_b07.calls"	"13:03"	14	0.00405092592592593
"AxiomGT1_b07.calls"	"14:01"	5	0.00144675925925926
"AxiomGT1_b07.calls"	"14:02"	13	0.00376157407407407
"AxiomGT1_b07.calls"	"14:54"	22	0.00636574074074074
"AxiomGT1_b07.calls"	"15:01"	525	0.151909722222222
"AxiomGT1_b07.calls"	"15:02"	2	0.000578703703703704
"AxiomGT1_b07.calls"	"16:01"	26	0.00752314814814815
"AxiomGT1_b08.calls"	"01:01"	1278	0.178691275167785
"AxiomGT1_b08.calls"	"01:02"	6	0.000838926174496644
"AxiomGT1_b08.calls"	"01:03"	1	0.000139821029082774
"AxiomGT1_b08.calls"	"03:01"	781	0.109200223713647
"AxiomGT1_b08.calls"	"04:01"	888	0.124161073825503
"AxiomGT1_b08.calls"	"04:03"	8	0.00111856823266219
"AxiomGT1_b08.calls"	"04:04"	350	0.0489373601789709
"AxiomGT1_b08.calls"	"04:05"	1	0.000139821029082774
"AxiomGT1_b08.calls"	"04:07"	9	0.00125838926174497
"AxiomGT1_b08.calls"	"04:08"	90	0.0125838926174497
"AxiomGT1_b08.calls"	"07:01"	422	0.0590044742729307
"AxiomGT1_b08.calls"	"08:01"	643	0.0899049217002237
"AxiomGT1_b08.calls"	"08:02"	13	0.00181767337807606
"AxiomGT1_b08.calls"	"08:03"	2	0.000279642058165548
"AxiomGT1_b08.calls"	"09:01"	265	0.0370525727069351
"AxiomGT1_b08.calls"	"10:01"	56	0.00782997762863535
"AxiomGT1_b08.calls"	"11:01"	191	0.0267058165548098
"AxiomGT1_b08.calls"	"11:03"	3	0.000419463087248322
"AxiomGT1_b08.calls"	"11:04"	31	0.004334451901566
"AxiomGT1_b08.calls"	"12:01"	189	0.0264261744966443
"AxiomGT1_b08.calls"	"13:01"	621	0.0868288590604027
"AxiomGT1_b08.calls"	"13:02"	279	0.039010067114094
"AxiomGT1_b08.calls"	"13:03"	25	0.00349552572706935
"AxiomGT1_b08.calls"	"14:01"	15	0.00209731543624161
"AxiomGT1_b08.calls"	"14:02"	18	0.00251677852348993
"AxiomGT1_b08.calls"	"14:54"	62	0.00866890380313199
"AxiomGT1_b08.calls"	"15:01"	842	0.117729306487696
"AxiomGT1_b08.calls"	"15:02"	6	0.000838926174496644
"AxiomGT1_b08.calls"	"16:01"	57	0.00796979865771812
"AxiomGT1_b09.calls"	"01:01"	1402	0.167924302311654
"AxiomGT1_b09.calls"	"01:02"	15	0.00179662234998203
"AxiomGT1_b09.calls"	"01:03"	1	0.000119774823332136
"AxiomGT1_b09.calls"	"03:01"	1071	0.128278835788717
"AxiomGT1_b09.calls"	"04:01"	1352	0.161935561145047
"AxiomGT1_b09.calls"	"04:03"	3	0.000359324469996407
"AxiomGT1_b09.calls"	"04:04"	523	0.0626422326027069
"AxiomGT1_b09.calls"	"04:05"	8	0.000958198586657085
"AxiomGT1_b09.calls"	"04:07"	12	0.00143729787998563
"AxiomGT1_b09.calls"	"04:08"	89	0.0106599592765601
"AxiomGT1_b09.calls"	"07:01"	389	0.0465924062762007
"AxiomGT1_b09.calls"	"08:01"	767	0.091867289495748
"AxiomGT1_b09.calls"	"08:02"	14	0.0016768475266499
"AxiomGT1_b09.calls"	"08:03"	2	0.000239549646664271
"AxiomGT1_b09.calls"	"09:01"	289	0.0346149239429872
"AxiomGT1_b09.calls"	"10:01"	61	0.00730626422326027
"AxiomGT1_b09.calls"	"11:01"	227	0.0271888848963948
"AxiomGT1_b09.calls"	"11:03"	8	0.000958198586657085
"AxiomGT1_b09.calls"	"11:04"	25	0.00299437058330339
"AxiomGT1_b09.calls"	"12:01"	164	0.0196430710264702
"AxiomGT1_b09.calls"	"13:01"	613	0.0734219667025991
"AxiomGT1_b09.calls"	"13:02"	299	0.0358126721763085
"AxiomGT1_b09.calls"	"13:03"	38	0.00455144328662115
"AxiomGT1_b09.calls"	"14:01"	13	0.00155707270331776
"AxiomGT1_b09.calls"	"14:02"	21	0.00251527128997485
"AxiomGT1_b09.calls"	"14:54"	73	0.0087435621032459
"AxiomGT1_b09.calls"	"15:01"	811	0.097137381722362
"AxiomGT1_b09.calls"	"15:02"	1	0.000119774823332136
"AxiomGT1_b09.calls"	"16:01"	58	0.00694693975326386
"AxiomGT1_b10.calls"	"01:01"	1120	0.155923708756787
"AxiomGT1_b10.calls"	"01:02"	17	0.00236669915077266
"AxiomGT1_b10.calls"	"01:03"	1	0.000139217597104274
"AxiomGT1_b10.calls"	"03:01"	984	0.136990115550606
"AxiomGT1_b10.calls"	"04:01"	1178	0.163998329388835
"AxiomGT1_b10.calls"	"04:03"	6	0.000835305582625644
"AxiomGT1_b10.calls"	"04:04"	400	0.0556870388417096
"AxiomGT1_b10.calls"	"04:05"	6	0.000835305582625644
"AxiomGT1_b10.calls"	"04:07"	13	0.00180982876235556
"AxiomGT1_b10.calls"	"04:08"	64	0.00890992621467353
"AxiomGT1_b10.calls"	"07:01"	353	0.0491438117778087
"AxiomGT1_b10.calls"	"08:01"	676	0.0941110956424892
"AxiomGT1_b10.calls"	"08:02"	8	0.00111374077683419
"AxiomGT1_b10.calls"	"08:03"	10	0.00139217597104274
"AxiomGT1_b10.calls"	"09:01"	283	0.0393985799805095
"AxiomGT1_b10.calls"	"10:01"	39	0.00542948628706669
"AxiomGT1_b10.calls"	"11:01"	191	0.0265905610469163
"AxiomGT1_b10.calls"	"11:03"	2	0.000278435194208548
"AxiomGT1_b10.calls"	"11:04"	22	0.00306278713629403
"AxiomGT1_b10.calls"	"12:01"	127	0.0176806348322428
"AxiomGT1_b10.calls"	"13:01"	538	0.0748990672420994
"AxiomGT1_b10.calls"	"13:02"	297	0.0413476263399694
"AxiomGT1_b10.calls"	"13:03"	18	0.00250591674787693
"AxiomGT1_b10.calls"	"14:01"	8	0.00111374077683419
"AxiomGT1_b10.calls"	"14:02"	24	0.00334122233050258
"AxiomGT1_b10.calls"	"14:54"	55	0.00765696784073507
"AxiomGT1_b10.calls"	"15:01"	693	0.0964777947932619
"AxiomGT1_b10.calls"	"16:01"	50	0.0069608798552137
"AxiomGT1_b11.calls"	"01:01"	1214	0.180574148445634
"AxiomGT1_b11.calls"	"01:02"	12	0.00178491744756805
"AxiomGT1_b11.calls"	"03:01"	630	0.0937081659973226
"AxiomGT1_b11.calls"	"04:01"	635	0.094451881600476
"AxiomGT1_b11.calls"	"04:03"	6	0.000892458723784025
"AxiomGT1_b11.calls"	"04:04"	288	0.0428380187416332
"AxiomGT1_b11.calls"	"04:05"	1	0.000148743120630671
"AxiomGT1_b11.calls"	"04:07"	11	0.00163617432693738
"AxiomGT1_b11.calls"	"04:08"	83	0.0123456790123457
"AxiomGT1_b11.calls"	"07:01"	361	0.0536962665476722
"AxiomGT1_b11.calls"	"08:01"	688	0.102335266993902
"AxiomGT1_b11.calls"	"08:02"	14	0.00208240368882939
"AxiomGT1_b11.calls"	"08:03"	6	0.000892458723784025
"AxiomGT1_b11.calls"	"09:01"	243	0.036144578313253
"AxiomGT1_b11.calls"	"10:01"	57	0.00847835787594824
"AxiomGT1_b11.calls"	"11:01"	236	0.0351033764688383
"AxiomGT1_b11.calls"	"11:03"	7	0.0010412018444147
"AxiomGT1_b11.calls"	"11:04"	13	0.00193366056819872
"AxiomGT1_b11.calls"	"12:01"	160	0.0237988993009073
"AxiomGT1_b11.calls"	"13:01"	678	0.100847835787595
"AxiomGT1_b11.calls"	"13:02"	262	0.0389706976052358
"AxiomGT1_b11.calls"	"13:03"	34	0.00505726610144281
"AxiomGT1_b11.calls"	"14:01"	8	0.00118994496504537
"AxiomGT1_b11.calls"	"14:02"	40	0.00594972482522683
"AxiomGT1_b11.calls"	"14:54"	68	0.0101145322028856
"AxiomGT1_b11.calls"	"15:01"	905	0.134612524170757
"AxiomGT1_b11.calls"	"15:02"	2	0.000297486241261342
"AxiomGT1_b11.calls"	"16:01"	61	0.00907333035847092
"AxiomGT1_b12.calls"	"01:01"	402	0.179224253232278
"AxiomGT1_b12.calls"	"01:02"	1	0.000445831475702185
"AxiomGT1_b12.calls"	"03:01"	272	0.121266161390994
"AxiomGT1_b12.calls"	"04:01"	316	0.14088274632189
"AxiomGT1_b12.calls"	"04:03"	3	0.00133749442710655
"AxiomGT1_b12.calls"	"04:04"	124	0.0552831029870709
"AxiomGT1_b12.calls"	"04:05"	1	0.000445831475702185
"AxiomGT1_b12.calls"	"04:08"	21	0.00936246098974588
"AxiomGT1_b12.calls"	"07:01"	122	0.0543914400356665
"AxiomGT1_b12.calls"	"08:01"	218	0.0971912617030762
"AxiomGT1_b12.calls"	"08:02"	2	0.000891662951404369
"AxiomGT1_b12.calls"	"08:03"	1	0.000445831475702185
"AxiomGT1_b12.calls"	"09:01"	94	0.0419081587160054
"AxiomGT1_b12.calls"	"10:01"	15	0.00668747213553277
"AxiomGT1_b12.calls"	"11:01"	67	0.0298707088720464
"AxiomGT1_b12.calls"	"11:03"	3	0.00133749442710655
"AxiomGT1_b12.calls"	"11:04"	3	0.00133749442710655
"AxiomGT1_b12.calls"	"12:01"	39	0.0173874275523852
"AxiomGT1_b12.calls"	"13:01"	182	0.0811413285777976
"AxiomGT1_b12.calls"	"13:02"	84	0.0374498439589835
"AxiomGT1_b12.calls"	"13:03"	13	0.0057958091841284
"AxiomGT1_b12.calls"	"14:01"	1	0.000445831475702185
"AxiomGT1_b12.calls"	"14:02"	14	0.00624164065983058
