"batch"	"allele2"	"n"	"batch.freq"
"AxiomGT1_b07.calls"	"01:04"	23	0.00665124349334876
"AxiomGT1_b07.calls"	"01:05"	24	0.00694042799305957
"AxiomGT1_b07.calls"	"02:01"	187	0.0540775014459225
"AxiomGT1_b07.calls"	"03:01"	397	0.114806246385194
"AxiomGT1_b07.calls"	"03:02"	146	0.0422209369577791
"AxiomGT1_b07.calls"	"03:03"	83	0.0240023134759977
"AxiomGT1_b07.calls"	"04:01"	345	0.0997686524002313
"AxiomGT1_b07.calls"	"05:01"	331	0.0957200694042799
"AxiomGT1_b07.calls"	"05:05"	260	0.075187969924812
"AxiomGT1_b07.calls"	"05:09"	1	0.000289184499710815
"AxiomGT1_b07.calls"	"06:01"	3	0.000867553499132446
"AxiomGT1_b08.calls"	"01:01"	1287	0.179899357003075
"AxiomGT1_b08.calls"	"01:02"	1177	0.164523343584009
"AxiomGT1_b08.calls"	"01:03"	564	0.0788370142577579
"AxiomGT1_b08.calls"	"01:04"	75	0.0104836455129997
"AxiomGT1_b08.calls"	"01:05"	53	0.00740844282918647
"AxiomGT1_b08.calls"	"02:01"	422	0.0589879787531451
"AxiomGT1_b08.calls"	"03:01"	1109	0.155018171652223
"AxiomGT1_b08.calls"	"03:02"	313	0.0437517472742522
"AxiomGT1_b08.calls"	"03:03"	236	0.0329885378809058
"AxiomGT1_b08.calls"	"04:01"	659	0.0921162985742242
"AxiomGT1_b08.calls"	"05:01"	781	0.10916969527537
"AxiomGT1_b08.calls"	"05:05"	476	0.0665362035225049
"AxiomGT1_b08.calls"	"06:01"	2	0.000279563880346659
"AxiomGT1_b09.calls"	"01:01"	1419	0.169940119760479
"AxiomGT1_b09.calls"	"01:02"	1168	0.139880239520958
"AxiomGT1_b09.calls"	"01:03"	555	0.0664670658682635
"AxiomGT1_b09.calls"	"01:04"	84	0.010059880239521
"AxiomGT1_b09.calls"	"01:05"	59	0.00706586826347305
"AxiomGT1_b09.calls"	"02:01"	390	0.0467065868263473
"AxiomGT1_b09.calls"	"03:01"	1762	0.211017964071856
"AxiomGT1_b09.calls"	"03:02"	345	0.0413173652694611
"AxiomGT1_b09.calls"	"03:03"	224	0.0268263473053892
"AxiomGT1_b09.calls"	"04:01"	784	0.0938922155688623
"AxiomGT1_b09.calls"	"05:01"	1063	0.127305389221557
"AxiomGT1_b09.calls"	"05:05"	495	0.0592814371257485
"AxiomGT1_b09.calls"	"06:01"	2	0.000239520958083832
"AxiomGT1_b10.calls"	"01:01"	1137	0.158224325076538
"AxiomGT1_b10.calls"	"01:02"	1033	0.14375173949346
"AxiomGT1_b10.calls"	"01:03"	494	0.0687447815196215
"AxiomGT1_b10.calls"	"01:04"	60	0.00834956860562204
"AxiomGT1_b10.calls"	"01:05"	39	0.00542721959365433
"AxiomGT1_b10.calls"	"02:01"	358	0.0498190926802115
"AxiomGT1_b10.calls"	"03:01"	1464	0.203729473977178
"AxiomGT1_b10.calls"	"03:02"	312	0.0434177567492346
"AxiomGT1_b10.calls"	"03:03"	203	0.0282493737823546
"AxiomGT1_b10.calls"	"04:01"	686	0.095463401057612
"AxiomGT1_b10.calls"	"05:01"	985	0.137072084608962
"AxiomGT1_b10.calls"	"05:05"	402	0.0559421096576677
"AxiomGT1_b10.calls"	"05:09"	3	0.000417478430281102
"AxiomGT1_b10.calls"	"06:01"	10	0.00139159476760367
"AxiomGT1_b11.calls"	"01:01"	1228	0.182629387269482
"AxiomGT1_b11.calls"	"01:02"	1225	0.182183224271267
"AxiomGT1_b11.calls"	"01:03"	630	0.0936942296252231
"AxiomGT1_b11.calls"	"01:04"	74	0.0110053539559786
"AxiomGT1_b11.calls"	"01:05"	55	0.00817965496728138
"AxiomGT1_b11.calls"	"02:01"	357	0.0530933967876264
"AxiomGT1_b11.calls"	"03:01"	829	0.123289708506841
"AxiomGT1_b11.calls"	"03:02"	289	0.0429803688280785
"AxiomGT1_b11.calls"	"03:03"	198	0.029446757882213
"AxiomGT1_b11.calls"	"04:01"	703	0.104550862581797
"AxiomGT1_b11.calls"	"05:01"	630	0.0936942296252231
"AxiomGT1_b11.calls"	"05:05"	499	0.0742117787031529
"AxiomGT1_b11.calls"	"05:09"	1	0.000148720999405116
"AxiomGT1_b11.calls"	"06:01"	6	0.000892325996430696
"AxiomGT1_b12.calls"	"01:01"	403	0.179590017825312
"AxiomGT1_b12.calls"	"01:02"	306	0.136363636363636
"AxiomGT1_b12.calls"	"01:03"	172	0.0766488413547237
"AxiomGT1_b12.calls"	"01:04"	22	0.00980392156862745
"AxiomGT1_b12.calls"	"01:05"	14	0.00623885918003565
"AxiomGT1_b12.calls"	"02:01"	119	0.053030303030303
"AxiomGT1_b12.calls"	"03:01"	403	0.179590017825312
"AxiomGT1_b12.calls"	"03:02"	104	0.0463458110516934
"AxiomGT1_b12.calls"	"03:03"	62	0.0276292335115865
"AxiomGT1_b12.calls"	"04:01"	224	0.0998217468805704
"AxiomGT1_b12.calls"	"05:01"	271	0.120766488413547
"AxiomGT1_b12.calls"	"05:05"	143	0.0637254901960784
"AxiomGT1_b12.calls"	"06:01"	1	0.000445632798573975
"AxiomGT1_b13.calls"	"01:01"	807	0.205343511450382
"AxiomGT1_b13.calls"	"01:02"	701	0.178371501272265
"AxiomGT1_b13.calls"	"01:03"	304	0.07735368956743
"AxiomGT1_b13.calls"	"01:04"	28	0.00712468193384224
"AxiomGT1_b13.calls"	"01:05"	30	0.00763358778625954
"AxiomGT1_b13.calls"	"02:01"	239	0.0608142493638677
"AxiomGT1_b13.calls"	"03:01"	447	0.113740458015267
"AxiomGT1_b13.calls"	"03:02"	178	0.04529262086514
"AxiomGT1_b13.calls"	"03:03"	98	0.0249363867684478
"AxiomGT1_b13.calls"	"04:01"	443	0.112722646310433
"AxiomGT1_b13.calls"	"05:01"	361	0.0918575063613232
"AxiomGT1_b13.calls"	"05:05"	293	0.0745547073791349
"AxiomGT1_b13.calls"	"06:01"	1	0.000254452926208651
"AxiomGT1_b16.calls"	"01:01"	1	0.25
"AxiomGT1_b16.calls"	"01:03"	1	0.25
"AxiomGT1_b16.calls"	"03:01"	1	0.25
"AxiomGT1_b16.calls"	"04:01"	1	0.25
"AxiomGT1_b17.calls"	"01:01"	1	0.166666666666667
"AxiomGT1_b17.calls"	"01:03"	2	0.333333333333333
"AxiomGT1_b17.calls"	"02:01"	1	0.166666666666667
"AxiomGT1_b17.calls"	"04:01"	2	0.333333333333333
"BOTNIA_DGI_R3_Drem"	"01:01"	445	0.167419112114372
"BOTNIA_DGI_R3_Drem"	"01:02"	485	0.182468021068473
"BOTNIA_DGI_R3_Drem"	"01:03"	288	0.108352144469526
"BOTNIA_DGI_R3_Drem"	"01:04"	48	0.018058690744921
"BOTNIA_DGI_R3_Drem"	"01:05"	32	0.0120391271632807
"BOTNIA_DGI_R3_Drem"	"02:01"	169	0.063581640331076
"BOTNIA_DGI_R3_Drem"	"03:01"	328	0.123401053423627
"BOTNIA_DGI_R3_Drem"	"03:02"	81	0.0304740406320542
"BOTNIA_DGI_R3_Drem"	"03:03"	111	0.0417607223476298
"BOTNIA_DGI_R3_Drem"	"04:01"	203	0.0763732129420617
"BOTNIA_DGI_R3_Drem"	"05:01"	294	0.110609480812641
"BOTNIA_DGI_R3_Drem"	"05:05"	172	0.0647103085026336
"BOTNIA_DGI_R3_Drem"	"06:01"	2	0.000752445447705041
"BOTNIA_T2DGo_R3_Drem"	"01:01"	136	0.161904761904762
"BOTNIA_T2DGo_R3_Drem"	"01:02"	167	0.198809523809524
"BOTNIA_T2DGo_R3_Drem"	"01:03"	84	0.1
"BOTNIA_T2DGo_R3_Drem"	"01:04"	11	0.0130952380952381
"BOTNIA_T2DGo_R3_Drem"	"01:05"	11	0.0130952380952381
"BOTNIA_T2DGo_R3_Drem"	"02:01"	64	0.0761904761904762
"BOTNIA_T2DGo_R3_Drem"	"03:01"	90	0.107142857142857
"BOTNIA_T2DGo_R3_Drem"	"03:02"	20	0.0238095238095238
"BOTNIA_T2DGo_R3_Drem"	"03:03"	45	0.0535714285714286
"BOTNIA_T2DGo_R3_Drem"	"04:01"	56	0.0666666666666667
"BOTNIA_T2DGo_R3_Drem"	"05:01"	105	0.125
"BOTNIA_T2DGo_R3_Drem"	"05:05"	51	0.0607142857142857
"FINRISK_bf_R3_Drem"	"01:01"	181	0.170754716981132
"FINRISK_bf_R3_Drem"	"01:02"	194	0.183018867924528
"FINRISK_bf_R3_Drem"	"01:03"	104	0.0981132075471698
"FINRISK_bf_R3_Drem"	"01:04"	9	0.00849056603773585
"FINRISK_bf_R3_Drem"	"01:05"	7	0.00660377358490566
"FINRISK_bf_R3_Drem"	"02:01"	48	0.0452830188679245
"FINRISK_bf_R3_Drem"	"03:01"	126	0.118867924528302
"FINRISK_bf_R3_Drem"	"03:02"	39	0.0367924528301887
"FINRISK_bf_R3_Drem"	"03:03"	27	0.0254716981132075
"FINRISK_bf_R3_Drem"	"04:01"	137	0.129245283018868
"FINRISK_bf_R3_Drem"	"05:01"	99	0.0933962264150943
"FINRISK_bf_R3_Drem"	"05:05"	89	0.0839622641509434
"FINRISK_Corogene_R3_Drem"	"01:01"	618	0.180174927113703
"FINRISK_Corogene_R3_Drem"	"01:02"	622	0.18134110787172
"FINRISK_Corogene_R3_Drem"	"01:03"	287	0.0836734693877551
"FINRISK_Corogene_R3_Drem"	"01:04"	36	0.0104956268221574
"FINRISK_Corogene_R3_Drem"	"01:05"	29	0.00845481049562682
"FINRISK_Corogene_R3_Drem"	"02:01"	213	0.0620991253644315
"FINRISK_Corogene_R3_Drem"	"03:01"	415	0.120991253644315
"FINRISK_Corogene_R3_Drem"	"03:02"	154	0.0448979591836735
"FINRISK_Corogene_R3_Drem"	"03:03"	107	0.0311953352769679
"FINRISK_Corogene_R3_Drem"	"04:01"	308	0.0897959183673469
"FINRISK_Corogene_R3_Drem"	"05:01"	334	0.0973760932944606
"FINRISK_Corogene_R3_Drem"	"05:05"	301	0.0877551020408163
"FINRISK_Corogene_R3_Drem"	"05:09"	1	0.000291545189504373
"FINRISK_Corogene_R3_Drem"	"06:01"	5	0.00145772594752187
"FINRISK_Engage_R3_Drem"	"01:01"	2032	0.198321296115557
"FINRISK_Engage_R3_Drem"	"01:02"	1902	0.185633417919188
"FINRISK_Engage_R3_Drem"	"01:03"	896	0.0874487604918993
"FINRISK_Engage_R3_Drem"	"01:04"	102	0.00995510443099746
"FINRISK_Engage_R3_Drem"	"01:05"	70	0.00683193441342963
"FINRISK_Engage_R3_Drem"	"02:01"	508	0.0495803240288893
"FINRISK_Engage_R3_Drem"	"03:01"	1215	0.118582861604529
"FINRISK_Engage_R3_Drem"	"03:02"	485	0.0473355455787624
"FINRISK_Engage_R3_Drem"	"03:03"	303	0.0295725161038454
"FINRISK_Engage_R3_Drem"	"04:01"	1074	0.10482139371462
"FINRISK_Engage_R3_Drem"	"05:01"	869	0.0848135857895764
"FINRISK_Engage_R3_Drem"	"05:05"	783	0.0764200663673629
"FINRISK_Engage_R3_Drem"	"05:09"	1	9.75990630489947e-05
"FINRISK_Engage_R3_Drem"	"06:01"	6	0.000585594378293968
"FINRISK_Finpcga_R3_Drem"	"01:01"	2859	0.197553897180763
"FINRISK_Finpcga_R3_Drem"	"01:02"	2679	0.185116086235489
"FINRISK_Finpcga_R3_Drem"	"01:03"	1269	0.0876865671641791
